weather_data,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
106,Bilma,NE,18.6853,12.9164,71.4,34,0,11.39,clear sky
107,Umm Lajj,SA,25.0213,37.2685,85.15,51,1,5.1,clear sky
108,Tabou,CI,4.423,-7.3528,75.97,88,100,4.21,light rain
109,Rio Grande,BR,-32.035,-52.0986,62.87,95,98,12.53,overcast clouds
110,Yellowknife,CA,62.456,-114.3525,39.72,87,75,6.91,broken clouds
111,Barrow,US,71.2906,-156.7887,26.62,93,100,10.36,overcast clouds
112,Bluff,NZ,-46.6,168.3333,56.8,81,100,24.4,overcast clouds
113,Hithadhoo,MV,-0.6,73.0833,81.21,75,100,8.66,overcast clouds
114,Montijo,PT,38.7067,-8.9739,69.71,88,40,19.57,scattered clouds
115,Saint George,US,37.1041,-113.5841,67.78,29,0,3.44,clear sky
116,Torbay,CA,47.6666,-52.7314,53.58,97,100,3.44,light intensity drizzle
117,Mahebourg,MU,-20.4081,57.7,77.29,61,40,14.97,scattered clouds
118,Khasan,RU,42.4308,130.6434,55.33,39,0,9.48,clear sky
119,Sur,OM,22.5667,59.5289,88.81,30,89,1.83,overcast clouds
120,Kampen,NL,52.555,5.9111,52.95,97,79,6.17,broken clouds
121,Dunedin,NZ,-45.8742,170.5036,53.8,68,100,4.0,overcast clouds
122,Hvide Sande,DK,56.0045,8.1294,48.72,79,70,6.98,broken clouds
123,Sugod,PH,12.987,124.0805,83.03,75,98,0.81,overcast clouds
124,Guerrero Negro,MX,27.9769,-114.0611,70.41,81,0,8.57,clear sky
125,Bubaque,GW,11.2833,-15.8333,79.88,79,86,4.23,overcast clouds
126,Luderitz,NA,-26.6481,15.1594,64.74,70,0,12.1,clear sky
127,Mount Gambier,AU,-37.8333,140.7667,66.7,57,1,8.1,clear sky
128,Puerto Escondido,MX,15.85,-97.0667,78.94,78,100,12.53,overcast clouds
129,Qaanaaq,GL,77.484,-69.3632,2.19,83,98,7.07,overcast clouds
130,Hofn,IS,64.2539,-15.2082,43.09,58,70,5.46,broken clouds
131,Sembe,CG,1.6481,14.5806,71.17,98,98,1.5,light rain
132,Sanford,US,28.8006,-81.2731,62.89,46,40,17.27,scattered clouds
133,Boddam,GB,57.4667,-1.7833,43.18,67,98,10.67,overcast clouds
134,Kahului,US,20.8947,-156.47,80.62,77,40,0.0,scattered clouds
135,Makakilo City,US,21.3469,-158.0858,79.12,71,75,6.91,broken clouds
136,Milyutinskaya,RU,48.6279,41.6679,53.29,44,87,11.18,overcast clouds
137,Chokurdakh,RU,70.6333,147.9167,-1.28,100,91,1.99,overcast clouds
138,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,82,40,22.91,scattered clouds
139,San Cristobal,VE,7.7669,-72.225,65.88,98,99,1.7,overcast clouds
140,Te Anau,NZ,-45.4167,167.7167,42.13,97,100,7.31,overcast clouds
141,Kodiak,US,57.79,-152.4072,47.71,66,0,12.66,clear sky
142,Batemans Bay,AU,-35.7167,150.1833,68.09,72,73,5.59,broken clouds
143,Laguna,US,38.421,-121.4238,68.63,71,0,3.44,clear sky
144,Tchibanga,GA,-2.85,11.0333,71.29,95,100,0.96,light rain
145,Henties Bay,NA,-22.116,14.2845,58.64,90,16,0.94,few clouds
146,Kieta,PG,-6.2167,155.6333,84.04,68,48,3.53,scattered clouds
147,Kavieng,PG,-2.5744,150.7967,84.6,66,98,11.05,overcast clouds
148,Westport,US,41.1415,-73.3579,46.24,74,0,6.91,clear sky
149,Ariquemes,BR,-9.9133,-63.0408,72.99,98,92,1.99,overcast clouds
150,Buala,SB,-8.145,159.5921,85.37,64,24,6.62,few clouds
151,Tanete,ID,-3.9443,119.7848,89.94,63,97,2.86,overcast clouds
152,Husavik,IS,66.0449,-17.3389,32.47,77,12,11.18,few clouds
153,Bethel,US,41.3712,-73.414,44.49,83,0,0.0,clear sky
154,Cockburn Town,TC,21.4612,-71.1419,82.45,76,3,12.12,clear sky
155,Charters Towers,AU,-20.1,146.2667,90.21,35,45,18.48,scattered clouds
156,Lerwick,GB,60.1545,-1.1494,39.2,71,17,5.3,few clouds
157,Kodinsk,RU,58.6881,99.1844,37.47,70,100,6.31,overcast clouds
158,Castro,BR,-24.7911,-50.0119,58.23,99,100,1.03,overcast clouds
159,Bull Savanna,JM,17.8868,-77.5902,75.47,86,52,3.67,broken clouds
160,Hare Bay,CA,48.8499,-54.0148,45.75,95,53,3.38,broken clouds
161,Hushitai,CN,41.9322,123.5114,66.11,35,2,14.47,clear sky
162,Trincomalee,LK,8.5711,81.2335,82.11,78,100,9.46,overcast clouds
163,Sunndalsora,NO,62.6754,8.5515,38.91,90,71,2.33,broken clouds
164,San Carlos De Bariloche,AR,-41.1456,-71.3082,48.02,83,0,3.44,clear sky
165,Erdenet,MN,49.0333,104.0833,44.98,33,100,3.33,overcast clouds
166,Baracoa,CU,20.3467,-74.4958,77.27,87,11,3.96,few clouds
167,La Plata,AR,-34.9215,-57.9545,64.04,87,97,10.07,overcast clouds
168,Cabo San Lucas,MX,22.8909,-109.9124,79.52,74,44,3.0,scattered clouds
169,Harur,IN,12.0667,78.5,84.43,64,100,3.58,overcast clouds
170,Flin Flon,CA,54.7682,-101.865,42.69,70,64,5.12,broken clouds
171,Beyla,GN,8.6833,-8.6333,65.79,95,12,2.06,light rain
172,Bilibino,RU,68.0546,166.4372,9.93,89,100,10.07,overcast clouds
173,Dakar,SN,14.6937,-17.4441,77.88,78,80,15.28,broken clouds
174,Sept-Iles,CA,50.2001,-66.3821,50.52,98,100,25.32,moderate rain
175,Constitucion,CL,-35.3333,-72.4167,49.03,85,6,3.44,clear sky
176,Port Blair,IN,11.6667,92.75,80.64,83,100,4.61,light rain
177,Soe,ID,-9.8607,124.284,78.35,66,100,6.58,light rain
178,Zhigansk,RU,66.7697,123.3711,20.61,93,100,8.05,overcast clouds
179,Dingle,PH,10.9995,122.6711,86.45,71,81,9.28,broken clouds
180,East London,ZA,-33.0153,27.9116,68.94,100,75,5.75,mist
181,Kingaroy,AU,-26.5333,151.8333,64.44,100,75,5.75,light intensity shower rain
182,Belmonte,BR,-15.8631,-38.8828,72.37,83,0,3.85,clear sky
183,Ixtapa,MX,20.7,-105.2,75.06,96,59,2.57,broken clouds
184,Esperance,AU,-33.8667,121.9,72.66,48,0,10.38,clear sky
185,Clyde River,CA,70.4692,-68.5914,14.23,73,0,4.61,clear sky
186,Santa Cruz,BO,-17.8,-63.1667,69.26,83,75,12.66,broken clouds
187,Fare,PF,-16.7,-151.0167,77.34,79,23,10.0,light rain
188,Erzin,TR,36.9559,36.2,71.22,75,30,2.06,scattered clouds
189,Mount Isa,AU,-20.7333,139.5,92.97,29,40,18.41,scattered clouds
190,Hays,US,30.0502,-98.0336,53.53,61,1,1.01,clear sky
191,Skegness,GB,53.1436,0.3363,50.02,83,95,15.5,overcast clouds
192,Kutum,SD,14.2,24.6667,73.08,24,3,9.42,clear sky
193,Atuona,PF,-9.8,-139.0333,77.11,68,0,14.52,clear sky
194,Byron Bay,AU,-28.65,153.6167,66.94,84,100,11.23,moderate rain
195,Qaqortoq,GL,60.7167,-46.0333,37.78,89,100,6.96,light rain
196,Aykhal,RU,66.0,111.5,16.34,91,92,5.14,overcast clouds
197,Leningradskiy,RU,69.3833,178.4167,15.98,85,100,8.25,overcast clouds
198,Pskov,RU,57.8136,28.3496,40.91,93,75,6.71,light intensity shower rain
199,Tasiilaq,GL,65.6145,-37.6368,37.56,88,75,2.93,broken clouds
200,Cristobal Obregon,MX,16.35,-93.5333,66.83,98,89,2.51,overcast clouds
201,Yulara,AU,-25.2406,130.9889,79.25,30,0,13.76,clear sky
202,Kuito,AO,-12.3833,16.9333,68.27,60,41,0.6,scattered clouds
203,Aktau,KZ,43.65,51.2,55.98,61,0,12.5,clear sky
204,Samarinda,ID,-0.5,117.15,85.98,67,100,1.97,overcast clouds
205,Guangyuan,CN,32.442,105.823,71.58,55,95,10.27,overcast clouds
206,Jeremie,HT,18.65,-74.1167,78.3,82,1,2.48,clear sky
207,Takoradi,GH,4.8845,-1.7554,75.69,89,31,4.07,light rain
208,Kpandae,GH,8.4689,-0.0113,72.63,91,84,3.24,broken clouds
209,Roma,US,43.2128,-75.4557,36.88,88,40,4.61,scattered clouds
210,San Quintin,MX,30.4833,-115.95,69.13,82,65,6.53,broken clouds
211,Dharchula,IN,29.85,80.5333,70.02,48,32,6.35,scattered clouds
212,Abyek,IR,36.0667,50.55,58.6,55,0,4.45,clear sky
213,Necochea,AR,-38.5473,-58.7368,48.87,93,0,9.19,clear sky
214,Dandong,CN,40.1292,124.3947,56.91,51,0,9.08,clear sky
215,Cherskiy,RU,68.75,161.3,18.09,93,100,14.32,light snow
216,Xining,CN,36.6167,101.7667,56.68,32,93,2.26,overcast clouds
217,Boende,CD,-0.2167,20.8667,73.27,96,99,2.86,light rain
218,Bengkulu,ID,-3.8004,102.2655,82.56,69,100,10.8,overcast clouds
219,Rock Sound,BS,24.9,-76.2,82.45,75,57,15.28,broken clouds
220,Humaita,BR,-7.5061,-63.0208,72.23,99,87,0.81,heavy intensity rain
221,Mosjoen,NO,65.836,13.1908,42.91,93,75,0.0,broken clouds
222,Port-Cartier,CA,50.0334,-66.8654,50.22,98,100,19.66,heavy intensity rain
223,Havelock,US,34.8791,-76.9013,48.92,73,0,1.99,clear sky
224,Carballo,ES,43.213,-8.691,62.76,92,87,12.03,overcast clouds
225,Rodental,DE,50.2833,11.0667,50.32,96,15,1.01,few clouds
226,Bambous Virieux,MU,-20.3428,57.7575,77.25,61,40,14.97,light rain
227,Langcangan,PH,8.4794,123.7558,81.84,85,100,2.71,overcast clouds
228,Khatanga,RU,71.9667,102.5,13.32,88,76,11.27,broken clouds
229,Gushikawa,JP,26.3544,127.8686,74.43,82,100,17.27,overcast clouds
230,Cayeli,TR,41.0923,40.7292,68.11,76,91,1.52,overcast clouds
231,Voi,KE,-3.3945,38.563,75.65,59,23,8.72,few clouds
232,Nuuk,GL,64.1835,-51.7216,39.81,87,100,25.32,light snow
233,Asyut,EG,27.181,31.1837,72.19,55,29,11.07,scattered clouds
234,Chuy,UY,-33.6971,-53.4616,60.26,91,100,10.31,overcast clouds
235,Great Falls,US,47.5002,-111.3008,61.41,63,0,5.75,clear sky
236,Batagay-Alyta,RU,67.8006,130.4114,5.74,89,27,2.17,scattered clouds
237,Ternate,ID,0.8,127.4,87.03,61,96,6.02,overcast clouds
238,Tongling,CN,30.95,117.7833,69.71,30,0,13.53,clear sky
239,Nishihara,JP,26.1842,127.7558,74.48,81,100,31.07,overcast clouds
240,Mantua,IT,45.1667,10.7833,56.44,79,0,4.54,clear sky
241,Waipawa,NZ,-41.4122,175.5153,49.69,88,80,4.97,broken clouds
242,Berlevag,NO,70.8578,29.0864,39.2,87,75,18.41,light rain
243,Whitehorse,CA,60.7161,-135.0538,44.02,92,100,11.5,overcast clouds
244,Wamba,NG,8.9333,8.6,70.92,70,96,1.66,overcast clouds
245,Axim,GH,4.8699,-2.2405,75.94,86,39,2.04,scattered clouds
246,Tari,NG,12.4086,4.4914,75.4,39,25,5.12,scattered clouds
247,Muroto,JP,33.2833,134.15,66.94,51,2,2.44,clear sky
248,Suntar,RU,62.1444,117.6319,31.51,81,100,10.27,overcast clouds
249,Coihaique,CL,-45.5752,-72.0662,57.15,62,40,2.3,scattered clouds
250,Padang,ID,-0.9492,100.3543,84.25,72,89,4.72,overcast clouds
251,Khandyga,RU,62.6667,135.6,14.27,85,86,2.82,overcast clouds
252,Yar-Sale,RU,66.8333,70.8333,38.05,94,100,15.79,overcast clouds
253,Hualmay,PE,-11.0964,-77.6139,60.33,89,25,9.46,scattered clouds
254,Novo Aripuana,BR,-5.1206,-60.3797,72.1,95,49,2.68,scattered clouds
255,Dikson,RU,73.5069,80.5464,25.97,94,100,22.15,snow
256,Concepcion,CL,-36.827,-73.0498,46.2,100,0,1.14,clear sky
257,Lazaro Cardenas,MX,17.9583,-102.2,77.56,88,93,3.71,overcast clouds
258,Norman Wells,CA,65.282,-126.8329,35.64,93,75,5.75,broken clouds
259,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,12.66,broken clouds
260,Alamos,MX,27.0167,-108.9333,69.71,61,0,3.36,clear sky
261,Itigi,TZ,-5.7,34.4833,72.7,50,19,9.62,few clouds
262,Benin,BJ,9.5,2.25,70.63,85,12,2.64,few clouds
263,Port Elizabeth,ZA,-33.918,25.5701,72.1,97,100,5.75,fog
264,Verkh-Usugli,RU,52.7,115.1667,46.49,37,0,12.64,clear sky
265,Merauke,ID,-8.4667,140.3333,81.48,83,90,6.93,overcast clouds
266,Kruisfontein,ZA,-34.0033,24.7314,69.89,69,81,2.48,broken clouds
267,Ahipara,NZ,-35.1667,173.1667,57.42,62,13,12.01,few clouds
268,La Ronge,CA,55.1001,-105.2842,48.45,61,0,8.05,clear sky
269,Shellbrook,CA,53.2168,-106.4011,38.43,45,30,8.1,scattered clouds
270,Port Pirie,AU,-33.1833,138.0167,69.71,54,100,9.15,light rain
