City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Ilulissat,GL,2022-10-15 01:30:43,69.2167,-51.1,26.62,63,100,1.14
116,Nanortalik,GL,2022-10-15 01:30:44,60.1432,-45.2371,30.38,68,33,9.33
117,Hithadhoo,MV,2022-10-15 01:30:44,-0.6,73.0833,81.66,71,14,13.85
118,Bousso,TD,2022-10-15 01:30:45,10.4795,16.7117,75.45,74,100,3.98
119,Saint George,US,2022-10-15 01:30:44,37.1041,-113.5841,84.79,11,0,4.61
120,Bambous Virieux,MU,2022-10-15 01:30:45,-20.3428,57.7575,68.25,88,75,11.5
121,Tupik,RU,2022-10-15 01:30:46,54.4253,119.9327,30.7,95,100,14.09
122,Thompson,CA,2022-10-15 01:26:40,55.7435,-97.8558,33.96,100,100,9.22
123,Eenhana,NA,2022-10-15 01:30:47,-17.4667,16.3333,73.08,42,64,5.99
124,Mahebourg,MU,2022-10-15 01:30:48,-20.4081,57.7,68.29,88,75,11.5
125,Dutlwe,BW,2022-10-15 01:30:48,-23.9833,23.9,71.06,23,61,8.46
126,Marzuq,YE,2022-10-15 01:30:49,14.4,46.4667,66.76,60,4,1.54
127,Vao,NC,2022-10-15 01:30:50,-22.6667,167.4833,69.03,61,4,10.58
128,Kodiak,US,2022-10-15 01:30:50,57.79,-152.4072,45.91,87,100,24.16
129,Jaisinghnagar,IN,2022-10-15 01:30:51,23.7,81.3833,68.32,68,4,1.05
130,Laguna,US,2022-10-15 01:30:52,38.421,-121.4238,84.76,45,0,6.91
131,Norman Wells,CA,2022-10-15 01:30:52,65.282,-126.8329,26.64,68,20,3.44
132,Fortuna,US,2022-10-15 01:30:52,40.5982,-124.1573,53.91,92,100,4.61
133,Port Hardy,CA,2022-10-15 01:30:53,50.6996,-127.4199,53.78,87,20,3.44
134,Kandrian,PG,2022-10-15 01:30:53,-6.2167,149.55,87.17,62,29,7.83
135,Hilo,US,2022-10-15 01:30:54,19.7297,-155.09,87.28,76,75,11.5
136,Torbay,CA,2022-10-15 01:30:54,47.6666,-52.7314,49.5,89,40,12.66
137,Gat,IL,2022-10-15 01:30:55,31.61,34.7642,70.48,100,32,5.28
138,Abu Zabad,SD,2022-10-15 01:31:56,12.35,29.25,78.04,37,100,1.86
139,Cordoba,AR,2022-10-15 01:31:56,-31.4135,-64.1811,51.19,64,0,5.75
140,Naze,JP,2022-10-15 01:31:58,28.3667,129.4833,77.92,86,99,15.64
141,Kosa,RU,2022-10-15 01:31:58,59.9445,54.9977,42.93,96,100,4.88
142,Biltine,TD,2022-10-15 01:31:59,14.5333,20.9167,79.84,24,97,7.99
143,Nome,US,2022-10-15 01:31:59,64.5011,-165.4064,37.47,56,0,16.11
144,Hargeysa,SO,2022-10-15 01:32:00,9.56,44.065,66.31,62,4,2.91
145,Deputatskiy,RU,2022-10-15 01:32:00,69.3,139.9,8.29,91,99,4.88
146,New Norfolk,AU,2022-10-15 01:32:01,-42.7826,147.0587,56.91,66,100,5.99
147,Russellville,US,2022-10-15 01:32:02,35.2784,-93.1338,73.18,36,0,3.44
148,San Anselmo,US,2022-10-15 01:31:39,37.9747,-122.5616,70.18,85,0,11.5
149,Klaksvik,FO,2022-10-15 01:32:03,62.2266,-6.589,43.72,69,96,18.92
150,Bredasdorp,ZA,2022-10-15 01:32:03,-34.5322,20.0403,57.88,88,100,13.13
151,Shamgarh,IN,2022-10-15 01:32:04,24.1833,75.6333,70.14,65,0,0.49
152,Flinders,AU,2022-10-15 01:32:05,-34.5833,150.8552,73.18,56,5,4.0
153,Sortavala,RU,2022-10-15 01:32:05,61.7053,30.6918,47.26,90,100,8.77
154,Souillac,MU,2022-10-15 01:32:06,-20.5167,57.5167,68.38,88,75,11.5
155,Provideniya,RU,2022-10-15 01:32:08,64.3833,-173.3,30.74,81,77,8.55
156,Ponta Do Sol,PT,2022-10-15 01:32:08,32.6667,-17.1,70.72,61,51,4.54
157,Kruisfontein,ZA,2022-10-15 01:32:09,-34.0033,24.7314,58.48,93,100,13.35
158,Ixtapa,MX,2022-10-15 01:32:09,20.7,-105.2,83.43,74,100,6.91
159,Taman,RU,2022-10-15 01:32:10,45.2117,36.7161,53.92,64,0,22.28
160,Puerto Escondido,MX,2022-10-15 01:32:11,15.85,-97.0667,80.65,86,98,5.53
161,Lobito,AO,2022-10-15 01:32:11,-12.3481,13.5456,72.37,88,67,8.39
162,Chabahar,IR,2022-10-15 01:32:12,25.2919,60.643,78.71,56,0,2.57
163,Wahiawa,US,2022-10-15 01:32:12,21.5028,-158.0236,80.92,74,100,6.91
164,Sechura,PE,2022-10-15 01:32:13,-5.5569,-80.8222,61.65,81,0,15.66
165,Tabuk,PH,2022-10-15 01:32:13,17.4189,121.4443,79.23,77,100,2.53
166,Suixi,CN,2022-10-15 01:32:16,33.8907,116.7747,69.04,50,56,4.29
167,Natal,BR,2022-10-15 01:32:16,-5.795,-35.2094,75.85,83,20,10.36
168,Saskatoon,CA,2022-10-15 01:28:59,52.1168,-106.6345,53.17,41,75,2.3
169,Aquiraz,BR,2022-10-15 01:32:17,-3.9014,-38.3911,80.19,81,15,10.51
170,Rocha,UY,2022-10-15 01:32:18,-34.4833,-54.3333,49.71,64,100,4.52
