hotel_data,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
88,Guarenas,VE,77.13,scattered clouds,10.4674,-66.6066,Grand Hotel
89,Sao Filipe,CV,79.93,few clouds,14.8961,-24.4956,Hotel Xaguate
90,Airai,TL,73.62,moderate rain,-8.9266,125.4092,
96,Chiredzi,ZW,76.32,broken clouds,-21.05,31.6667,Clevers Hotel Chiredzi
98,Arraial Do Cabo,BR,71.49,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
102,Hirara,JP,77.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
103,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,Le four à pain
104,Letlhakeng,BW,74.17,broken clouds,-24.0944,25.0298,.
106,Bilma,NE,71.4,clear sky,18.6853,12.9164,Expeditions Ténére voyages
107,Umm Lajj,SA,85.15,clear sky,25.0213,37.2685,Moon light Furnished Units
108,Tabou,CI,75.97,light rain,4.423,-7.3528,hotêl doufoulougou
113,Hithadhoo,MV,81.21,overcast clouds,-0.6,73.0833,Scoop Guest House
117,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
119,Sur,OM,88.81,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
123,Sugod,PH,83.03,overcast clouds,12.987,124.0805,Jefstar Resort and Events venue
124,Guerrero Negro,MX,70.41,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
125,Bubaque,GW,79.88,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
128,Puerto Escondido,MX,78.94,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
131,Sembe,CG,71.17,light rain,1.6481,14.5806,
134,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
135,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
144,Tchibanga,GA,71.29,light rain,-2.85,11.0333,
146,Kieta,PG,84.04,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
147,Kavieng,PG,84.6,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
149,Ariquemes,BR,72.99,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
150,Buala,SB,85.37,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
151,Tanete,ID,89.94,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
154,Cockburn Town,TC,82.45,clear sky,21.4612,-71.1419,Osprey Beach Hotel
159,Bull Savanna,JM,75.47,broken clouds,17.8868,-77.5902,Big Red's
162,Trincomalee,LK,82.11,overcast clouds,8.5711,81.2335,Welcombe Hotel
166,Baracoa,CU,77.27,few clouds,20.3467,-74.4958,Hostal Rio Miel
168,Cabo San Lucas,MX,79.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
169,Harur,IN,84.43,overcast clouds,12.0667,78.5,Om Sri Selvavinayaga Mess
173,Dakar,SN,77.88,broken clouds,14.6937,-17.4441,Novotel Dakar
176,Port Blair,IN,80.64,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
177,Soe,ID,78.35,light rain,-9.8607,124.284,Dena Hotel
179,Dingle,PH,86.45,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
182,Belmonte,BR,72.37,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
183,Ixtapa,MX,75.06,broken clouds,20.7,-105.2,hotel la terminal
184,Esperance,AU,72.66,clear sky,-33.8667,121.9,Hospitality Esperance
187,Fare,PF,77.34,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
188,Erzin,TR,71.22,scattered clouds,36.9559,36.2,Artemis Otel
192,Kutum,SD,73.08,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
193,Atuona,PF,77.11,clear sky,-9.8,-139.0333,Villa Enata
201,Yulara,AU,79.25,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
204,Samarinda,ID,85.98,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
205,Guangyuan,CN,71.58,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
206,Jeremie,HT,78.3,clear sky,18.65,-74.1167,Auberge’Inn
207,Takoradi,GH,75.69,light rain,4.8845,-1.7554,Raybow International Hotel
208,Kpandae,GH,72.63,broken clouds,8.4689,-0.0113,Catholic Guest House
